,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Oil,95.0,,22.0,10.0,2.9999999999999996,6.0,26.0,5.0,0.0,2.0,1.0,0.0,1.0,1080.0,1162.0,14.0,,6.999999999999999,9.0,10.0,0.0,6.999999999999999,4.0,0.0,9.0,5.999999999999999,5.999999999999999,6.999999999999999,69.0,1.0,8.0,28.0,91.0,71.0,17.0,141.0,43.0,154.0,213.0,663.0000000000001,52.0,3.0,2.0,7.0,0.0,2.0,,1.0,17.0,2.0,22.0,19.0,11.0,0.0,23.0,10.0,39.0,26.0,1.0,13.0,2.0,0.0,70.0,24.0,1.0,0.0,11.0,2.9999999999999996,33.0,50.0,7.0,8.0,5.0,4.0,2.0,19.0,12.0,2.9999999999999996,9.0,0.0
Chemical,204.0,0.0,0.0,5.0,15.0,0.0,174.0,11.0,71.0,114.0,14.0,208.0,79.0,304.0,8820.0,49.0,1222.0,60.0,45.99999999999999,72.0,30.0,42.0,39.0,32.0,20.0,266.0,126.0,21.0,7.0,36.0,8.0,88.0,19.0,236.0,17.0,206.0,2.9999999999999996,11.0,3.0,0.0,2.0,,2.0,5.0,24.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,62.0,0.0,20.0,4.0,140.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,31.0,38.0,28.999999999999996,8.0,8.0,4.0,1.0,3.0,0.0,4.0,25.0,0.0
Pharmaceutical,35.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,4.0,0.0,4.0,1.0,0.0,88.0,189.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,247.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Rubber&Plastic,44.0,0.0,0.0,6.999999999999999,1.0,17.0,291.0,39.0,11.0,7.0,110.0,129.0,9.0,6.0,171.0,33.0,255.0,157.0,18.0,97.0,9.0,39.0,112.0,177.0,35.0,56.0,83.0,23.0,2.9999999999999996,0.0,6.999999999999999,194.0,63.0,484.00000000000006,11.0,44.0,25.999999999999996,21.0,1.0,3.0,14.0,2.0,4.0,10.0,29.0,3.0,2.0,6.0,9.0,0.0,2.0,5.0,2.0,31.0,85.0,10.0,24.0,1.0,13.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,19.0,11.0,6.0,11.0,16.0,38.0,5.0,5.0,0.0,4.0,6.0,25.0,13.0,0.0
Building Material,9.0,0.0,0.0,0.0,0.0,0.0,29.0,67.0,5.0,0.0,0.0,1.0,0.0,0.0,9.0,10.0,5.0,221.0,7.0,24.0,12.0,5.0,9.0,3.0,0.0,5.0,10.0,2.9999999999999996,6.0,0.0,6.0,1732.0,448.0,661.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,96.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,22.0,18.0,12.0,0.0,8.0,3.0,,4.0,0.0,0.0,12.0,0.0
Raw Metal,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,56.0,0.0,5.0,21.0,16.0,1144.0,14.0,11.0,150.0,70.0,52.0,15.0,3.0,13.0,27.0,0.0,34.0,107.0,126.0,114.0,39.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.99999999999999,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Metal Product,37.0,2.0,0.0,14.0,6.0,10.0,317.0,53.99999999999999,2.9999999999999996,2.0,60.0,6.0,5.0,2.0,117.0,5.0,22.0,12.0,33.0,3123.0,45.99999999999999,7.0,1446.0,340.0,403.0,35.0,23.0,1354.0000000000002,42.0,2.0,141.0,1669.0,748.0,1406.0,30.0,347.0,5.0,16.0,2.0,0.0,9.0,0.0,3.0,3.0,15.0,1.0,0.0,2.9999999999999996,6.0,7.0,0.0,0.0,0.0,7.0,77.0,7.0,53.99999999999999,292.99999999999994,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,21.0,1.0,262.0,17.0,19.0,17.0,1.0,,2.9999999999999996,0.0,0.0,0.0,11.0,0.0
Electrotechnical,8.0,0.0,0.0,14.0,3.0,4.0,31.0,3.0,9.0,2.0,1.0,4.0,3.0,6.0,27.999999999999996,3.0,4.0,11.0,47.0,25.0,192.0,33.0,52.0,16.0,34.0,4.0,9.0,25.0,11.0,0.0,15.0,48.0,9.0,77.0,7.0,54.0,30.0,14.0,2.0,0.0,30.0,2.0,8.0,12.0,1.0,3.0,1.0,291.0,29.0,0.0,4.0,3.0,9.0,3.0,11.0,16.0,151.0,3.0,4.0,1.0,6.0,0.0,1.0,1.0,0.0,37.00000000000001,1.0,6.0,24.0,19.0,344.0,6.0,0.0,0.0,0.0,2.9999999999999996,0.0,7.0,2.0,0.0
Electrical devices,5.0,0.0,0.0,4.0,3.0,24.0,10.0,6.0,18.0,0.0,0.0,2.0,3.0,1.0,12.0,2.0,8.0,3.0,6.999999999999999,21.0,22.0,86.0,27.0,54.0,46.0,2.0,6.999999999999999,53.0,2.0,0.0,6.0,129.0,10.0,170.0,0.0,36.0,20.0,9.0,2.0,0.0,21.0,0.0,5.0,10.0,0.0,0.0,0.0,53.0,14.0,0.0,8.0,4.0,0.0,2.0,46.0,14.0,470.0,145.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,14.0,10.0,13.0,8.0,0.0,0.0,0.0,13.0,0.0,3.0,2.0,0.0
Machines,312.0,12.0,5.0,27.0,13.0,17.0,164.0,16.0,3.0,11.0,29.0,28.999999999999996,12.0,30.0,177.0,17.0,76.0,38.0,122.00000000000001,238.99999999999997,25.0,35.0,1472.0,203.99999999999997,101.0,18.0,19.000000000000004,205.0,82.0,6.0,62.0,284.0,57.0,261.0,113.0,255.0,132.0,53.0,15.0,0.0,62.0,4.0,11.0,11.0,20.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,47.0,87.0,11.0,5.0,10.0,0.0,91.0,6.0,5.0,0.0,20.0,6.0,120.0,7.0,12.0,4.0,2.0,,0.0,3.0,0.0,0.0,9.0,0.0
Car,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1007.9999999999999,8.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,239.0,7.0,3.0,6.999999999999999,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remainder Transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.0,0.0,3.0,0.0,358.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,13.0,4.0,29.999999999999996,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Furniture,2.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,33.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,11.0,146.0,5.0,11.0,5.0,0.0,0.0,50.0,0.0,1.0,2.0,24.0,62.0,5.0,2.0,1.0,4.0,0.0,6.0,13.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0
Remainder industry,72.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,4.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,13.0,3.0,6.0,5.0,185.0,8.0,0.0,0.0,8.0,14.0,9.0,13.0,3.0,74.0,21.0,3.0,0.0,0.0,7.0,4.0,10.0,16.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,1.0,2.0,5.0,9.0,2.0,0.0,0.0,14.0,0.0,6.0,17.0,11.0,290.00000000000006,38.0,12.0,20.0,7.0,7.0,0.0,12.0,0.0,0.0,11.0,0.0
Reparation Machines,313.99999999999994,8.0,8.0,120.0,14.0,33.0,268.0,28.0,2.0,8.0,10.0,50.0,24.0,49.0,306.0,26.0,44.0,59.0,247.0,145.0,34.0,56.0,322.0,18.0,916.0,8.0,7.0,328.00000000000006,126.0,6.0,99.0,119.0,94.0,262.0,0.0,202.0,141.0,93.0,71.0,820.0,98.00000000000001,1.0,32.0,111.0,5.0,0.0,0.0,31.0,103.0,7.0,4.0,4.0,5.0,0.0,75.0,22.0,182.0,54.0,22.0,7.0,3.0,1.0,115.0,9.0,0.0,32.0,26.0,11.0,245.00000000000003,5.0,12.0,6.0,1.0,1.0,1.0,3.0,0.0,3.0,16.0,0.0
Energy,289.0,5.0,3.0,1220.0,19.0,9.0,218.0,9.0,147.0,10.0,8.0,38.0,14.0,119.0,704.0,8.0,74.0,66.0,158.0,99.0,17.0,33.0,68.0,22.0,17.0,24.0,23.0,21.0,2116.0,36.0,82.0,24.0,15.0,42.0,114.0,380.0,526.0,149.0,6.999999999999999,4.0,121.0,11.0,102.99999999999999,196.0,9.0,11.0,4.0,77.0,47.0,19.0,32.0,29.0,15.0,35.0,142.0,41.0,61.0,29.000000000000004,21.0,19.0,12.0,5.0,14.0,16.0,7.0,1.0,22.0,25.0,258.0,173.0,117.0,153.0,45.0,31.0,41.0,99.0,68.0,5.0,67.0,0.0
Waterpipes,37.0,0.0,0.0,5.0,13.0,21.0,67.0,5.0,18.0,0.0,3.0,2.0,1.0,6.999999999999999,39.0,10.0,7.0,6.0,38.0,4.0,4.0,1.0,6.0,2.0,0.0,1.0,4.0,3.0,12.0,12.0,25.0,3.0,2.0,9.0,5.0,17.0,11.0,4.0,0.0,0.0,2.0,1.0,19.0,8.0,1.0,1.0,0.0,1.0,1.0,5.0,6.999999999999999,6.999999999999999,5.0,0.0,10.0,8.0,16.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,42.0,13.0,20.0,22.0,7.0,1.0,0.0,13.0,8.0,1.0,10.0,0.0
Sewerage,388.0,0.0,2.0,6.999999999999999,12.0,1.0,194.0,8.0,5.0,2.0,1.0,24.0,9.0,13.0,279.0,2.0,114.99999999999999,116.0,464.0,317.0,17.0,22.0,17.0,5.0,2.0,3.0,5.0,6.0,20.0,3.0,1758.0,89.0,124.0,87.99999999999999,16.0,140.0,38.0,10.0,3.0,1.0,14.0,9.0,17.0,23.0,3.0,4.0,3.0,17.0,16.0,1.0,12.0,17.0,19.0,2.0,46.0,15.0,194.0,12.0,8.0,3.0,2.0,0.0,2.0,6.0,3.0,0.0,3.0,8.0,989.0,47.0,105.0,58.0,9.0,9.0,4.0,29.999999999999996,9.0,0.0,3.0,0.0
General Building,114.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,10.0,1.0,2.0,0.0,2.0,10.0,9.0,12.0,11.0,4273.0,659.0,473.99999999999994,6.0,87.0,20.0,7.0,2.0,1.0,63.0,2.0,12.0,12.0,0.0,1.0,0.0,49.0,8.0,0.0,5.0,4.0,3.0,2206.0,1775.0,25.0,196.0,418.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,274.0,301.0,93.0,165.0,3.0,1.0,6.0,26.0,12.0,0.0,3.0,0.0
Ground&Water Building,6.0,6.0,1.0,1.0,3.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,13.0,4.0,3.0,7.0,3.0,12.0,997.0,32.0,4.0,1125.0,835.0,721.0,3.0,85.0,13.0,57.0,0.0,0.0,376.0,0.0,6.0,17.0,0.0,0.0,1.0,230.0,0.0,0.0,0.0,0.0,0.0,27.0,55.0,0.0,4.0,123.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1767.0,12.0,5.0,22.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
Specialized building,238.0,5.0,1.0,10.0,1.0,4.0,75.0,7.0,2.0,6.0,3.0,13.0,10.0,6.0,99.0,11.0,15.0,9.0,36.0,32.0,5.0,2.0,27.0,12.0,41.0,3.0,10.0,10.0,59.0,12.0,27.999999999999996,8067.0,3244.0,4724.0,18.0,140.0,126.0,69.0,16.0,8.0,215.0,6.0,24.0,36.0,4.0,4.0,1.0,289.0,32.0,2.0,17.0,19.0,11.0,3039.0,2501.0,15.0,246.00000000000003,94.0,34.0,9.0,5.0,1.0,23.0,15.0,0.0,3.0,21.0,11.0,755.0,405.0,148.0,238.0,23.0,7.0,20.0,59.0,27.0,2.0,15.0,0.0
Car trade&repair,65.0,4.0,0.0,7.0,3.0,7.0,80.0,4.0,0.0,5.0,9.0,3.0,7.0,2.9999999999999996,18.0,2.9999999999999996,8.0,16.0,10.0,45.0,5.0,8.0,30.0,39.0,5.0,18.0,11.0,24.0,3.0,5.0,100.0,66.0,44.0,191.0,2491.0,413.0,120.00000000000001,667.0,0.0,0.0,72.0,36.0,5.0,29.999999999999996,6.0,8.0,2.0,36.0,50.0,7.0,46.0,57.0,34.0,0.0,53.0,52.0,246.0,55.00000000000001,6.0,35.0,25.0,2.0,1120.0,22.0,3.0,19.0,66.0,12.0,125.0,86.99999999999999,75.0,55.0,26.0,12.0,3.0,40.0,36.0,4.0,16.0,0.0
Wholesale,224.0,6.0,3.0,26.0,10.0,28.0,625.0,82.0,24.0,32.0,28.0,204.0,56.99999999999999,48.0,455.0,67.0,119.99999999999999,76.0,428.0,137.0,110.0,136.0,355.99999999999994,66.0,57.0,30.0,33.0,58.0,105.99999999999999,5.0,326.0,151.0,70.0,224.0,81.0,3567.0,550.0,121.0,31.0,26.0,134.0,64.0,48.0,107.00000000000001,58.00000000000001,29.999999999999996,15.0,146.0,593.0,118.0,35.0,33.0,49.0,0.0,127.0,165.0,325.0,187.0,35.0,55.0,72.0,2.0,119.0,66.0,32.0,12.0,44.0,38.0,234.0,34.0,57.0,55.0,17.0,13.0,5.0,22.0,25.999999999999996,10.0,20.0,0.0
Retail,6.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,11.0,0.0,6.0,4.0,3.0,3.0,6.0,6.0,4.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,14.0,8.0,48.0,917.0,12.0,2.0,0.0,6.0,8.0,3.0,6.0,0.0,0.0,0.0,170.0,4.0,0.0,5.0,3.0,3.0,0.0,11.0,6.0,23.0,8.0,0.0,4.0,30.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0,11.0,7.0,6.0,0.0,5.0,5.0,3.0,6.0,4.0,0.0,1.0,0.0
Land Transport,87.0,0.0,2.0,15.0,5.0,3.0,62.99999999999999,12.0,2.0,8.0,3.0,9.0,12.0,124.0,65.0,5.0,14.0,9.0,16.0,37.0,40.0,32.0,28.999999999999996,15.0,9.0,4.0,2.0,2.0,9.0,0.0,400.0,19.0,24.0,34.0,116.0,968.0,157.0,5794.000000000001,28.0,23.0,216.00000000000003,6.0,7.0,11.0,13.0,18.0,7.0,29.0,33.0,4.0,17.0,33.0,20.0,0.0,11.0,12.0,144.0,11.0,5.0,8.0,6.0,0.0,18.0,15.0,307.0,1.0,3.0,4.0,229.0,60.0,118.0,142.0,11.0,6.0,1.0,18.0,40.0,0.0,6.0,0.0
