,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Agriculture,5185.0,14.0,2.0,6.0,0.0,0.0,9446.0,22.0,23.0,95.0,1.0,1.0,1.0,3.0,19.0,,31.0,3.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,3.0,9.0,4.0,2.0,2.0,5.0,10.0,40.0,87.0,3.0,201.0,34.0,60.0,0.0,0.0,86.0,0.0,30.0,97.0,0.0,2.0,0.0,9.0,2.9999999999999996,0.0,2.0,2.0,0.0,0.0,20.0,2.0,8.0,0.0,17.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,86.0,45.0,118.0,19.0,40.99999999999999,73.0,2.0,5.0,2.0,8.0,4.0,0.0,20.0,0.0
Forestry,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishery,0.0,0.0,2.0,0.0,0.0,0.0,37.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining Oil&Gas,261.0,0.0,0.0,157.0,2.9999999999999996,2.0,281.0,38.0,,7.0,1.0,67.0,5.0,513.0,640.0,18.0,40.0,94.0,91.0,51.0,0.0,0.0,18.0,4.0,8.0,4.0,1.0,11.0,126.0,6.0,11.0,5.0,2.9999999999999996,10.0,8.0,157.0,31.0,10.0,1.0,0.0,17.0,1.0,34.0,59.0,0.0,1.0,2.0,2.9999999999999996,6.0,0.0,6.0,3.0,1.0,3.0,13.999999999999998,5.0,6.0,2.0,4.0,1.0,2.0,,1.0,2.9999999999999996,1.0,1.0,3.0,2.9999999999999996,42.0,50.0,29.0,60.0,7.0,4.0,5.0,22.0,36.0,0.0,6.0,0.0
Remainder Mining,15.0,0.0,0.0,0.0,139.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,116.0,71.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supporting Mining,0.0,0.0,0.0,24.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Supplements,4285.0,0.0,15.0,0.0,0.0,0.0,7731.0,144.0,1.0,8.0,0.0,31.0,0.0,132.0,219.0,302.0,25.0,0.0,1.0,7.0,0.0,2.9999999999999996,4.0,0.0,0.0,2.0,1.0,0.0,14.0,,199.00000000000003,2.0,,17.0,4.0,222.99999999999997,11.0,4.0,0.0,2.0,1.0,1.0,258.0,1309.0,1.0,3.0,1.0,2.0,5.0,1.0,6.999999999999999,8.0,8.0,8.0,2.0,3.0,95.0,3.0,11.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,81.0,44.0,221.0,548.0,15.0,28.0,4.0,93.0,1.0,0.0,33.0,0.0
Beverages,2.0,0.0,0.0,0.0,0.0,0.0,27.999999999999996,102.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,19.0,4.0,0.0,0.0,0.0,1.0,0.0,19.0,385.99999999999994,1.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,2.9999999999999996,1.0,1.0,0.0,1.0,9.0,20.0,4.0,19.0,6.0,2.0,12.0,243.99999999999997,4.0,0.0,12.0,0.0
Tobacco,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Textile&Clothing,4.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,0.0,352.0,6.0,7.0,4.0,0.0,7.0,1.0,17.0,8.0,0.0,8.0,0.0,21.0,13.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,5.0,17.0,16.0,15.0,5.0,23.0,13.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,1.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,2.9999999999999996,2.0,34.0,1.0,2.0,,0.0,0.0,2.9999999999999996,1.0,0.0,8.0,84.0,3.0,14.0,6.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0
Wood,24.0,0.0,0.0,0.0,1.0,0.0,49.0,49.0,0.0,18.0,109.0,11.0,2.0,2.0,37.0,7.0,27.0,27.999999999999996,2.0,34.0,6.0,2.0,10.0,0.0,1.0,21.0,30.0,0.0,2.9999999999999996,0.0,0.0,680.0000000000001,35.0,124.0,0.0,18.0,48.0,7.0,0.0,0.0,33.0,0.0,6.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,73.0,171.0,2.0,4.0,0.0,7.0,6.0,2.9999999999999996,2.0,1.0,2.0,0.0,1.0,0.0,122.0,15.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,55.0,0.0
Paper,10.0,0.0,2.0,7.0,0.0,8.0,497.0,129.0,8.0,11.0,2.0,655.0,122.99999999999999,1.0,40.0,57.0,78.0,27.0,18.0,33.0,24.0,3.0,76.0,1.0,4.0,23.0,21.0,3.0,2.0,2.0,2.0,9.0,1.0,18.0,5.0,27.999999999999996,34.0,6.0,8.0,4.0,12.0,0.0,4.0,18.0,86.99999999999999,2.0,2.0,6.0,10.0,3.0,6.0,5.0,4.0,,22.0,10.0,11.0,4.0,7.0,14.0,5.0,0.0,6.0,5.0,0.0,,56.0,151.0,32.0,25.999999999999996,58.0,44.0,9.0,3.0,,3.0,9.0,6.999999999999999,4.0,0.0
Graphical,8.0,0.0,1.0,0.0,1.0,2.0,86.0,40.0,2.0,4.0,3.0,19.0,98.0,0.0,40.0,1.0,17.0,7.0,13.0,14.0,23.0,14.0,25.0,11.0,3.0,1.0,8.0,9.0,7.0,1.0,8.0,21.0,12.0,39.0,68.0,236.0,129.0,27.0,9.0,5.0,13.0,5.0,37.0,66.0,581.0,23.0,11.0,104.0,108.0,19.0,151.0,36.0,33.0,0.0,32.0,41.0,196.0,18.0,12.0,239.0,12.0,2.0,23.0,32.0,64.0,2.0,11.0,25.0,69.0,56.99999999999999,34.0,42.0,20.0,19.0,5.0,7.0,11.0,1.0,5.0,0.0
