,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Machines,314.0,13.0,5.0,27.0,13.0,21.0,150.0,17.0,3.0,11.0,28.0,30.0,14.0,41.0,180.0,19.0,67.0,35.0,115.0,209.0,27.0,35.0,1518.0,165.0,111.0,13.0,14.0,225.0,83.0,6.0,60.0,263.0,50.0,246.0,121.0,242.0,128.0,45.0,18.0,0.0,52.0,4.0,11.0,10.0,18.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,44.0,73.0,10.0,6.0,8.0,0.0,88.0,6.0,5.0,0.0,19.0,6.0,115.0,7.0,13.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,10.0,0.0
Car,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,688.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,203.0,6.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remainder Transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,0.0,7.0,0.0,476.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,16.0,4.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Furniture,2.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,58.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,137.0,3.0,13.0,6.0,0.0,1.0,22.0,1.0,1.0,1.0,26.0,64.0,4.0,2.0,1.0,3.0,0.0,5.0,13.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0
Remainder industry,77.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,10.0,4.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,15.0,3.0,7.0,5.0,195.0,7.0,0.0,1.0,9.0,12.0,10.0,13.0,4.0,86.0,21.0,3.0,0.0,0.0,7.0,4.0,12.0,18.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,2.0,2.0,5.0,10.0,2.0,0.0,0.0,15.0,0.0,5.0,19.0,11.0,305.0,40.0,13.0,20.0,8.0,8.0,0.0,14.0,0.0,0.0,11.0,0.0
Reparation Machines,310.0,9.0,7.0,119.0,14.0,38.0,245.0,28.0,2.0,8.0,10.0,50.0,25.0,66.0,316.0,26.0,43.0,54.0,232.0,134.0,41.0,57.0,283.0,14.0,1179.0,7.0,7.0,368.0,125.0,6.0,98.0,105.0,79.0,235.0,0.0,185.0,135.0,85.0,78.0,811.0,90.0,1.0,31.0,97.0,5.0,0.0,0.0,30.0,102.0,5.0,4.0,4.0,5.0,0.0,70.0,20.0,189.0,51.0,20.0,6.0,2.0,1.0,109.0,9.0,0.0,30.0,25.0,11.0,232.0,4.0,12.0,6.0,1.0,1.0,1.0,3.0,0.0,3.0,16.0,0.0
Energy,284.0,4.0,3.0,1235.0,18.0,15.0,197.0,9.0,126.0,10.0,7.0,36.0,13.0,127.0,696.0,7.0,65.0,58.0,144.0,88.0,17.0,34.0,62.0,19.0,15.0,21.0,23.0,19.0,2339.0,34.0,73.0,20.0,13.0,39.0,101.0,345.0,427.0,138.0,6.0,3.0,110.0,10.0,96.0,172.0,9.0,8.0,3.0,72.0,45.0,15.0,32.0,27.0,13.0,39.0,137.0,37.0,57.0,28.0,20.0,19.0,9.0,3.0,12.0,15.0,6.0,2.0,20.0,24.0,248.0,160.0,111.0,143.0,42.0,29.0,37.0,91.0,65.0,5.0,63.0,0.0
Waterpipes,38.0,0.0,0.0,7.0,10.0,26.0,66.0,5.0,19.0,0.0,3.0,2.0,1.0,10.0,45.0,10.0,6.0,7.0,35.0,4.0,5.0,1.0,6.0,2.0,0.0,0.0,4.0,4.0,11.0,11.0,25.0,3.0,2.0,9.0,5.0,17.0,10.0,4.0,0.0,0.0,2.0,1.0,19.0,10.0,1.0,1.0,0.0,2.0,1.0,2.0,7.0,6.0,4.0,0.0,11.0,7.0,15.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,40.0,13.0,20.0,22.0,7.0,1.0,0.0,13.0,8.0,1.0,10.0,0.0
Sewerage,400.0,0.0,2.0,6.0,10.0,1.0,188.0,8.0,4.0,3.0,1.0,23.0,10.0,12.0,268.0,2.0,114.0,110.0,453.0,301.0,19.0,24.0,17.0,5.0,2.0,3.0,5.0,4.0,21.0,3.0,1700.0,80.0,124.0,74.0,15.0,138.0,36.0,10.0,4.0,1.0,13.0,7.0,17.0,22.0,3.0,3.0,2.0,16.0,17.0,1.0,12.0,18.0,19.0,2.0,44.0,15.0,214.0,10.0,7.0,3.0,2.0,0.0,2.0,6.0,3.0,0.0,3.0,8.0,901.0,47.0,106.0,57.0,8.0,9.0,3.0,30.0,9.0,0.0,3.0,0.0
General Building,118.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,11.0,1.0,3.0,0.0,2.0,13.0,10.0,12.0,10.0,3752.0,551.0,459.0,6.0,93.0,20.0,7.0,3.0,1.0,61.0,2.0,11.0,16.0,0.0,1.0,0.0,41.0,8.0,0.0,6.0,4.0,3.0,2102.0,1768.0,25.0,193.0,386.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,282.0,288.0,99.0,162.0,3.0,1.0,5.0,26.0,13.0,0.0,3.0,0.0
