,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Agriculture,5543.0,18.0,2.0,6.0,0.0,0.0,9741.0,21.0,27.0,93.0,1.0,2.0,1.0,4.0,18.0,0.0,27.0,4.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,9.0,6.0,2.0,2.0,6.0,11.0,45.0,99.0,4.0,222.0,37.0,61.0,0.0,0.0,73.0,0.0,35.0,132.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,1.0,0.0,2.0,20.0,2.0,10.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,71.0,49.0,114.0,16.0,53.0,90.0,3.0,3.0,2.0,8.0,4.0,0.0,19.0,0.0
Forestry,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishery,0.0,0.0,2.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining Oil&Gas,89.0,0.0,0.0,55.0,0.0,0.0,134.0,28.0,0.0,2.0,0.0,40.0,1.0,415.0,387.0,13.0,28.0,63.0,70.0,39.0,0.0,0.0,10.0,0.0,8.0,1.0,0.0,12.0,42.0,4.0,5.0,1.0,0.0,4.0,3.0,85.0,16.0,7.0,1.0,0.0,8.0,0.0,17.0,30.0,0.0,1.0,2.0,0.0,6.0,0.0,4.0,1.0,0.0,8.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,19.0,18.0,10.0,25.0,2.0,2.0,2.0,11.0,16.0,0.0,2.0,0.0
Remainder Mining,17.0,0.0,0.0,0.0,141.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,133.0,88.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supporting Mining,0.0,0.0,0.0,17.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Supplements,4327.0,0.0,17.0,0.0,0.0,0.0,7868.0,124.0,2.0,10.0,0.0,63.0,0.0,114.0,254.0,224.0,19.0,2.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,18.0,2.0,199.0,2.0,0.0,21.0,3.0,223.0,9.0,4.0,0.0,1.0,2.0,1.0,297.0,1408.0,2.0,3.0,0.0,0.0,6.0,1.0,7.0,6.0,8.0,9.0,2.0,4.0,61.0,3.0,11.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,81.0,44.0,213.0,537.0,15.0,27.0,5.0,92.0,1.0,0.0,37.0,0.0
Beverages,1.0,0.0,0.0,0.0,0.0,0.0,19.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,20.0,3.0,2.0,1.0,0.0,1.0,0.0,22.0,416.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,3.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,10.0,19.0,4.0,22.0,6.0,2.0,10.0,263.0,5.0,0.0,13.0,0.0
Tobacco,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Textile&Clothing,2.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,330.0,5.0,9.0,6.0,0.0,7.0,1.0,15.0,8.0,1.0,5.0,0.0,24.0,14.0,19.0,3.0,3.0,5.0,0.0,0.0,0.0,5.0,18.0,19.0,14.0,3.0,24.0,11.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,14.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,2.0,50.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,13.0,97.0,2.0,13.0,6.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0
